symbol,date,open,high,low,close,volume
NFLX,2025-04-24,1048.0,1101.0,1047.02,1096.87,6381896
NFLX,2025-04-25,1097.04,1106.7984,1091.0001,1101.53,3950008
NFLX,2025-04-28,1100.0,1114.0,1082.62,1110.38,3831088
NFLX,2025-04-29,1103.92,1127.81,1095.48,1125.64,3777329
NFLX,2025-04-30,1112.65,1133.2005,1101.1101,1131.72,4266676
NFLX,2025-05-01,1122.52,1142.42,1111.8301,1133.47,3499497
NFLX,2025-05-02,1136.66,1159.44,1133.32,1156.49,3774282
NFLX,2025-05-05,1114.795,1144.02,1107.01,1134.06,5662317
NFLX,2025-05-06,1129.43,1147.66,1126.4,1137.69,3256682
NFLX,2025-05-07,1139.175,1164.0,1138.0,1155.41,4352394
NFLX,2025-05-08,1161.62,1162.2939,1139.2,1144.43,3760872
NFLX,2025-05-09,1147.1,1151.0,1133.22,1140.22,2569633
NFLX,2025-05-12,1124.26,1130.0,1102.9301,1110.0,6479079
NFLX,2025-05-13,1114.46,1147.88,1106.3,1138.44,3997869
NFLX,2025-05-14,1129.595,1152.9003,1128.4,1150.99,3910147
NFLX,2025-05-15,1147.74,1187.8019,1147.647,1177.98,4464041
NFLX,2025-05-16,1193.14,1196.5,1179.39,1191.53,4698353
NFLX,2025-05-19,1173.575,1191.64,1171.71,1191.64,2853415
NFLX,2025-05-20,1186.79,1193.0,1179.02,1192.02,2133066
NFLX,2025-05-21,1186.5,1211.2199,1186.5,1194.63,2976610
NFLX,2025-05-22,1192.4,1198.7499,1187.2082,1187.97,1861588
NFLX,2025-05-23,1184.0,1191.45,1179.44,1185.39,2186483
NFLX,2025-05-27,1195.33,1211.77,1193.09,1211.57,2920469
NFLX,2025-05-28,1210.27,1215.9101,1206.02,1208.55,1855850
NFLX,2025-05-29,1208.0,1209.0,1176.28,1184.86,3303079
NFLX,2025-05-30,1198.33,1211.81,1180.925,1207.23,4696756
NFLX,2025-06-02,1201.2,1219.3999,1196.2501,1218.98,2294216
NFLX,2025-06-03,1219.87,1229.57,1211.18,1217.94,2363762
NFLX,2025-06-04,1220.735,1242.56,1219.88,1239.66,2359381
NFLX,2025-06-05,1240.6,1262.81,1237.2901,1250.52,2821797
NFLX,2025-06-06,1259.41,1259.9999,1235.5501,1241.475,2556956
NFLX,2025-06-09,1238.88,1238.88,1221.57,1224.46,2403117
NFLX,2025-06-10,1227.52,1227.52,1180.61,1203.62,4454447
NFLX,2025-06-11,1202.6,1228.29,1196.0101,1219.88,2382280
NFLX,2025-06-12,1222.59,1230.0,1211.965,1215.03,2084602
NFLX,2025-06-13,1206.59,1220.62,1201.89,1212.15,2210253
NFLX,2025-06-16,1212.2,1226.25,1212.2,1225.35,2112797
NFLX,2025-06-17,1219.95,1232.3569,1216.09,1220.67,1892126
NFLX,2025-06-18,1229.99,1241.9999,1220.5,1222.29,2281047
NFLX,2025-06-20,1234.45,1248.4999,1224.349,1231.41,5348193
NFLX,2025-06-23,1238.025,1254.84,1215.01,1253.54,2667318
NFLX,2025-06-24,1260.545,1282.571,1255.0,1279.11,2663307
NFLX,2025-06-25,1286.84,1297.9999,1273.81,1275.25,2146510
NFLX,2025-06-26,1280.0,1307.34,1280.0,1306.67,2605870
NFLX,2025-06-27,1306.88,1331.345,1301.0,1323.12,4070857
NFLX,2025-06-30,1331.0,1341.15,1321.21,1339.13,3282908
NFLX,2025-07-01,1338.23,1338.7743,1282.22,1293.6,4993567
NFLX,2025-07-02,1296.96,1299.9499,1271.59,1284.86,3048801
NFLX,2025-07-03,1292.0,1302.26,1279.76,1297.18,2006224
NFLX,2025-07-07,1295.0,1295.0,1276.02,1289.62,2273737
NFLX,2025-07-08,1290.9,1293.25,1260.0,1275.31,3292525
NFLX,2025-07-09,1273.99,1288.29,1266.24,1288.28,2384477
NFLX,2025-07-10,1285.5,1289.5999,1246.01,1250.59,4236494
NFLX,2025-07-11,1259.786,1261.0,1231.3,1245.11,3957150
NFLX,2025-07-14,1244.91,1270.49,1240.0,1261.95,2781048
NFLX,2025-07-15,1262.0,1271.22,1243.245,1260.27,2801731
NFLX,2025-07-16,1261.71,1271.0,1249.82,1250.31,3227022
NFLX,2025-07-17,1253.0,1277.5,1244.8004,1274.17,6469877
NFLX,2025-07-18,1241.96,1246.5,1201.01,1209.24,10693306
NFLX,2025-07-21,1206.0,1237.1,1198.0,1233.27,5627591
NFLX,2025-07-22,1230.38,1232.37,1187.5,1190.08,5062970
NFLX,2025-07-23,1189.81,1192.6194,1173.6,1176.78,4504264
NFLX,2025-07-24,1177.8,1183.5,1162.6601,1180.76,3845570
NFLX,2025-07-25,1178.415,1187.32,1174.3825,1180.49,2629260
NFLX,2025-07-28,1181.2,1197.7899,1168.53,1174.6,3446958
NFLX,2025-07-29,1179.0,1179.6,1163.29,1168.74,2752489
NFLX,2025-07-30,1168.55,1184.85,1166.1,1184.2,2922731
NFLX,2025-07-31,1184.8,1190.0,1157.74,1159.4,3712949
NFLX,2025-08-01,1163.01,1178.505,1152.85,1158.6,3890950
NFLX,2025-08-04,1167.65,1177.0,1162.615,1170.99,2244702
NFLX,2025-08-05,1171.0,1171.71,1144.71,1147.87,2660735
NFLX,2025-08-06,1153.52,1181.375,1151.8701,1178.48,3362161
NFLX,2025-08-07,1181.76,1191.22,1168.2,1180.37,2628321
NFLX,2025-08-08,1183.19,1214.11,1180.3701,1211.64,3816689
NFLX,2025-08-11,1214.01,1223.07,1201.93,1218.31,2455648
NFLX,2025-08-12,1225.0,1231.99,1206.505,1225.28,2282627
NFLX,2025-08-13,1234.0,1237.12,1203.0,1204.44,2762355
NFLX,2025-08-14,1209.89,1244.09,1207.03,1230.56,3904668
NFLX,2025-08-15,1234.04,1246.941,1227.88,1238.95,2767804
NFLX,2025-08-18,1235.63,1251.1599,1235.45,1245.09,2111087
NFLX,2025-08-19,1240.2,1240.9999,1192.79,1214.15,3707731
NFLX,2025-08-20,1218.0,1222.9999,1193.3101,1213.86,2434398
NFLX,2025-08-21,1211.43,1221.3999,1197.635,1206.21,2047178
NFLX,2025-08-22,1208.88,1213.62,1198.23,1204.65,3128133
NFLX,2025-08-25,1201.65,1233.8,1199.0,1218.07,2812036
NFLX,2025-08-26,1220.21,1231.4999,1212.2,1226.09,1985714
NFLX,2025-08-27,1223.61,1229.21,1213.0,1223.5,1664526
NFLX,2025-08-28,1222.79,1237.891,1214.2681,1231.45,1950336
NFLX,2025-08-29,1227.97,1228.79,1201.15,1208.25,3209817
NFLX,2025-09-02,1197.0,1215.4,1182.8,1214.11,2303269
NFLX,2025-09-03,1205.14,1226.9999,1203.38,1226.18,2441424
NFLX,2025-09-04,1223.2,1257.48,1223.09,1257.48,3023506
NFLX,2025-09-05,1260.0,1267.1,1239.0201,1243.82,2379673
NFLX,2025-09-08,1248.54,1252.0405,1232.0,1244.76,1915053
NFLX,2025-09-09,1246.67,1265.721,1246.67,1263.25,2219655
NFLX,2025-09-10,1263.975,1267.0,1246.355,1247.71,2701015
NFLX,2025-09-11,1251.0,1253.445,1192.0,1203.5,5682286
NFLX,2025-09-12,1203.055,1211.78,1182.4,1188.44,3784944
NFLX,2025-09-15,1188.4,1207.24,1173.2076,1202.26,2909277
NFLX,2025-09-16,1205.64,1208.9999,1197.28,1200.51,2151473
